property_id,address,city,state,zipcode,bedrooms,bathrooms,square_feet,year_built,price,identifier_id,identifier_fips,identifier_apn,identifier_attomid,address_country,address_countrysubd,address_line1,address_line2,address_locality,address_matchcode,address_oneline,address_postal2,address_postal3,location_accuracy,location_latitude,location_longitude,location_distance,location_geoid,location_geoidv4_co,location_geoidv4_cs,location_geoidv4_db,location_geoidv4_n1,location_geoidv4_n2,location_geoidv4_pl,location_geoidv4_sb,location_geoidv4_zi,vintage_lastmodified,vintage_pubdate,location_geoidv4_n4,location_geoidv4_n3
,,,,10001,,,,,,32946225.0,36061.0,00731-00505L,32946225.0,US,NY,408 W 34TH ST APT 5L,"NEW YORK, NY 10001",NEW YORK,ExaStr,"408 W 34TH ST APT 5L, NEW YORK, NY 10001",2338.0,C037,Rooftop,40.753291,-73.997098,0.0,"CO36061, CS3644919, DB3600077, ND0000571715, ND0000571725, PL3651000, RS0004911279, SB0000105725, SB0000139184, SB0000142786, SB0000151673, ZI10001",760ad60f6671cbf0429ae9806042b545,3bc7a8ca32a4da6a7beb95fb4949fbf5,e35b0afc81cc59e43ff809102442a118,f9be93d2c511d894d208f7c02a07cad6,a4faa972f6740d3f5ac99821b8f6900f,219ca739bd6e73f7e89c24edb7eee9f7,"0da99c90906851a2939dd57c4f024d90, 5c9d8e0696905ac087187b9a082331fc",68ba326151c3c611de1214ea0bf07a58,2025-06-24,2025-06-24,f12756331c9fd1cc2bdf0059c770ddd4,
,,,,10001,,,,,,32946226.0,36061.0,00731-00502F,32946226.0,US,NY,408 W 34TH ST APT 2F,"NEW YORK, NY 10001",NEW YORK,ExaStr,"408 W 34TH ST APT 2F, NEW YORK, NY 10001",2340.0,C037,Rooftop,40.753291,-73.997098,0.0,"CO36061, CS3644919, DB3600077, ND0000571715, ND0000571725, PL3651000, RS0004911279, SB0000105725, SB0000139184, SB0000142786, SB0000151673, ZI10001",760ad60f6671cbf0429ae9806042b545,3bc7a8ca32a4da6a7beb95fb4949fbf5,e35b0afc81cc59e43ff809102442a118,f9be93d2c511d894d208f7c02a07cad6,a4faa972f6740d3f5ac99821b8f6900f,219ca739bd6e73f7e89c24edb7eee9f7,"0da99c90906851a2939dd57c4f024d90, 5c9d8e0696905ac087187b9a082331fc",68ba326151c3c611de1214ea0bf07a58,2025-06-24,2025-06-24,f12756331c9fd1cc2bdf0059c770ddd4,
,,,,10001,,,,,,32946228.0,36061.0,00731-00505F,32946228.0,US,NY,408 W 34TH ST APT 5F,"NEW YORK, NY 10001",NEW YORK,ExaStr,"408 W 34TH ST APT 5F, NEW YORK, NY 10001",2318.0,C037,Rooftop,40.753291,-73.997098,0.0,"CO36061, CS3644919, DB3600077, ND0000571715, ND0000571725, PL3651000, RS0004911279, SB0000105725, SB0000139184, SB0000142786, SB0000151673, ZI10001",760ad60f6671cbf0429ae9806042b545,3bc7a8ca32a4da6a7beb95fb4949fbf5,e35b0afc81cc59e43ff809102442a118,f9be93d2c511d894d208f7c02a07cad6,a4faa972f6740d3f5ac99821b8f6900f,219ca739bd6e73f7e89c24edb7eee9f7,"0da99c90906851a2939dd57c4f024d90, 5c9d8e0696905ac087187b9a082331fc",68ba326151c3c611de1214ea0bf07a58,2025-06-24,2025-06-24,f12756331c9fd1cc2bdf0059c770ddd4,
,,,,10001,,,,,,32965777.0,36061.0,00831-00205G,32965777.0,US,NY,1200 BROADWAY APT 5G,"NEW YORK, NY 10001",NEW YORK,ExaStr,"1200 BROADWAY APT 5G, NEW YORK, NY 10001",4319.0,C052,Rooftop,40.746078,-73.988137,0.0,"CO36061, CS3644919, DB3600077, ND0000128985, ND0000571725, PL3651000, RS0004915887, SB0000105725, SB0000139184, SB0000142786, SB0000151673, ZI10001",760ad60f6671cbf0429ae9806042b545,3bc7a8ca32a4da6a7beb95fb4949fbf5,e35b0afc81cc59e43ff809102442a118,f9be93d2c511d894d208f7c02a07cad6,d9090896e5748a57261791296d353f1c,219ca739bd6e73f7e89c24edb7eee9f7,"0da99c90906851a2939dd57c4f024d90, 5c9d8e0696905ac087187b9a082331fc",68ba326151c3c611de1214ea0bf07a58,2025-06-24,2025-06-24,cb1c28a843d5c331d36cd40949ffd5c7,
,,,,10001,,,,,,32966750.0,36061.0,00779-0055,32966750.0,US,NY,220 W 30TH ST,"NEW YORK, NY 10001",NEW YORK,ExaStr,"220 W 30TH ST, NEW YORK, NY 10001",4928.0,C014,Rooftop,40.748717,-73.99361,0.0,"CO36061, CS3644919, DB3600077, ND0000571715, ND0000571725, PL3651000, SB0000105725, SB0000139184, SB0000142786, SB0000151673, ZI10001",760ad60f6671cbf0429ae9806042b545,3bc7a8ca32a4da6a7beb95fb4949fbf5,e35b0afc81cc59e43ff809102442a118,f9be93d2c511d894d208f7c02a07cad6,a4faa972f6740d3f5ac99821b8f6900f,219ca739bd6e73f7e89c24edb7eee9f7,"0da99c90906851a2939dd57c4f024d90, 5c9d8e0696905ac087187b9a082331fc",68ba326151c3c611de1214ea0bf07a58,2025-06-24,2025-06-24,,
,,,,10001,,,,,,32976993.0,36061.0,00831-0061,32976993.0,US,NY,1212 BROADWAY,"NEW YORK, NY 10001",NEW YORK,ExaStr,"1212 BROADWAY, NEW YORK, NY 10001",4301.0,C051,Rooftop,40.746419,-73.988265,0.0,"CO36061, CS3644919, DB3600077, ND0000128985, ND0000571725, PL3651000, SB0000105725, SB0000139184, SB0000142786, SB0000151673, ZI10001",760ad60f6671cbf0429ae9806042b545,3bc7a8ca32a4da6a7beb95fb4949fbf5,e35b0afc81cc59e43ff809102442a118,f9be93d2c511d894d208f7c02a07cad6,d9090896e5748a57261791296d353f1c,219ca739bd6e73f7e89c24edb7eee9f7,"0da99c90906851a2939dd57c4f024d90, 5c9d8e0696905ac087187b9a082331fc",68ba326151c3c611de1214ea0bf07a58,2025-06-24,2025-06-24,,
,,,,10001,,,,,,32986894.0,36061.0,00775-00226C,32986894.0,US,NY,225 W 25TH ST APT 6C,"NEW YORK, NY 10001",NEW YORK,ExaStr,"225 W 25TH ST APT 6C, NEW YORK, NY 10001",7130.0,C022,Rooftop,40.746027,-73.995653,0.0,"CO36061, CS3644919, DB3600077, ND0000571715, ND0000571725, PL3651000, RS0004909634, SB0000105724, SB0000139184, SB0000142786, SB0000151673, ZI10001",760ad60f6671cbf0429ae9806042b545,3bc7a8ca32a4da6a7beb95fb4949fbf5,e35b0afc81cc59e43ff809102442a118,f9be93d2c511d894d208f7c02a07cad6,a4faa972f6740d3f5ac99821b8f6900f,219ca739bd6e73f7e89c24edb7eee9f7,"58f953f161fe1bc7a61a6e6570068681, 5c9d8e0696905ac087187b9a082331fc",68ba326151c3c611de1214ea0bf07a58,2025-06-24,2025-06-24,c6b7ffd86959ff148cceea2daffa01dc,
,,,,10001,,,,,,33016018.0,36061.0,00731-00504C,33016018.0,US,NY,408 W 34TH ST APT 4C,"NEW YORK, NY 10001",NEW YORK,ExaStr,"408 W 34TH ST APT 4C, NEW YORK, NY 10001",2319.0,C037,Rooftop,40.753291,-73.997098,0.0,"CO36061, CS3644919, DB3600077, ND0000571715, ND0000571725, PL3651000, RS0004911279, SB0000105725, SB0000139184, SB0000142786, SB0000151673, ZI10001",760ad60f6671cbf0429ae9806042b545,3bc7a8ca32a4da6a7beb95fb4949fbf5,e35b0afc81cc59e43ff809102442a118,f9be93d2c511d894d208f7c02a07cad6,a4faa972f6740d3f5ac99821b8f6900f,219ca739bd6e73f7e89c24edb7eee9f7,"0da99c90906851a2939dd57c4f024d90, 5c9d8e0696905ac087187b9a082331fc",68ba326151c3c611de1214ea0bf07a58,2025-06-24,2025-06-24,f12756331c9fd1cc2bdf0059c770ddd4,
,,,,10001,,,,,,33092279.0,36061.0,00731-006010C,33092279.0,US,NY,430 W 34TH ST APT 10C,"NEW YORK, NY 10001",NEW YORK,ExaStr,"430 W 34TH ST APT 10C, NEW YORK, NY 10001",2313.0,C030,Rooftop,40.753663,-73.997671,0.0,"CO36061, CS3644919, DB3600077, ND0000571715, ND0000571725, PL3651000, RS0004912741, SB0000105725, SB0000139184, SB0000142786, SB0000151673, ZI10001",760ad60f6671cbf0429ae9806042b545,3bc7a8ca32a4da6a7beb95fb4949fbf5,e35b0afc81cc59e43ff809102442a118,f9be93d2c511d894d208f7c02a07cad6,a4faa972f6740d3f5ac99821b8f6900f,219ca739bd6e73f7e89c24edb7eee9f7,"0da99c90906851a2939dd57c4f024d90, 5c9d8e0696905ac087187b9a082331fc",68ba326151c3c611de1214ea0bf07a58,2025-06-24,2025-06-24,d9bea24bf003f659b7e479fd4d2c8efd,
,,,,10001,,,,,,33092280.0,36061.0,00731-006017F,33092280.0,US,NY,430 W 34TH ST APT 17F,"NEW YORK, NY 10001",NEW YORK,ExaStr,"430 W 34TH ST APT 17F, NEW YORK, NY 10001",2348.0,C030,Rooftop,40.753663,-73.997671,0.0,"CO36061, CS3644919, DB3600077, ND0000571715, ND0000571725, PL3651000, RS0004912741, SB0000105725, SB0000139184, SB0000142786, SB0000151673, ZI10001",760ad60f6671cbf0429ae9806042b545,3bc7a8ca32a4da6a7beb95fb4949fbf5,e35b0afc81cc59e43ff809102442a118,f9be93d2c511d894d208f7c02a07cad6,a4faa972f6740d3f5ac99821b8f6900f,219ca739bd6e73f7e89c24edb7eee9f7,"0da99c90906851a2939dd57c4f024d90, 5c9d8e0696905ac087187b9a082331fc",68ba326151c3c611de1214ea0bf07a58,2025-06-24,2025-06-24,d9bea24bf003f659b7e479fd4d2c8efd,
